environment_steps,updates,episode_returns_mean,entropy_mean,loss_mean,actor_loss_mean,value_loss_mean,reward_std_mean,deliveries_mean,block_rate_mean,idle_rate_mean,pickup_rate_mean,deliveries_early_mean,deliveries_mid_mean,deliveries_late_mean,block_early_mean,block_mid_mean,block_late_mean
16985000,3397,3.0,0.12698379158973694,17.68644142150879,-0.4133501946926117,36.1995849609375,0.029973020777106285,3.0,0.14474999904632568,4.999999873689376e-05,0.07939999550580978,2.6000001430511475,0.20000000298023224,0.20000000298023224,0.15286144614219666,0.1424698829650879,0.13898810744285583
16990000,3398,3.0,0.1199696734547615,17.838136672973633,0.5614916682243347,34.55329132080078,0.02985747531056404,3.0,0.17319999635219574,0.0,0.07705000042915344,2.6000001430511475,0.10000000149011612,0.30000001192092896,0.15346385538578033,0.19909639656543732,0.16711309552192688
16995000,3399,2.9000000953674316,0.11688532680273056,18.377424240112305,-0.20663537085056305,37.16811752319336,0.02802140824496746,2.9000000953674316,0.21284998953342438,0.0,0.0710499957203865,2.9000000953674316,0.0,0.0,0.13885542750358582,0.2423192858695984,0.25684523582458496
17000000,3400,2.4000000953674316,0.10286719352006912,13.885616302490234,-1.1630908250808716,30.097414016723633,0.018446791917085648,2.4000000953674316,0.311599999666214,0.0,0.04114999994635582,2.299999952316284,0.0,0.10000000149011612,0.24518072605133057,0.3361445963382721,0.3529762029647827
17005000,3401,3.0,0.1167796328663826,20.685855865478516,1.164160966873169,39.04338836669922,0.029861709102988243,3.0,0.22904999554157257,0.0,0.08240000158548355,2.9000000953674316,0.0,0.10000000149011612,0.18659639358520508,0.220933735370636,0.2790178656578064
17010000,3402,3.700000047683716,0.1173507571220398,25.627147674560547,0.13900470733642578,50.976287841796875,0.04316047951579094,3.700000047683716,0.12094999849796295,0.0,0.033649999648332596,3.700000047683716,0.0,0.0,0.1105421707034111,0.12756024301052094,0.12470238655805588
17015000,3403,2.5,0.1014324426651001,14.166563987731934,-1.3658907413482666,31.064908981323242,0.02043546922504902,2.5,0.12019999325275421,0.0,0.11594999581575394,2.4000000953674316,0.10000000149011612,0.0,0.10888554155826569,0.11852409690618515,0.13303571939468384
17020000,3404,2.799999952316284,0.12459485977888107,17.057886123657227,0.5590344667434692,32.997703552246094,0.026120733469724655,2.799999952316284,0.19699999690055847,0.0,0.07304999977350235,2.799999952316284,0.0,0.0,0.17966867983341217,0.18177711963653564,0.2291666716337204
17025000,3405,3.1000001430511475,0.1230277568101883,20.811912536621094,0.2545908987522125,41.11464309692383,0.031557921320199966,3.1000001430511475,0.12815000116825104,0.0,0.08715000003576279,3.0,0.10000000149011612,0.0,0.11370482295751572,0.12846386432647705,0.1421131044626236
17030000,3406,3.0,0.14923876523971558,17.477628707885742,-0.6511223316192627,36.257503509521484,0.02988702990114689,3.0,0.17649999260902405,0.0,0.09465000033378601,2.6000001430511475,0.4000000059604645,0.0,0.15873494744300842,0.14593373239040375,0.22425596415996552
17035000,3407,3.299999952316284,0.1163671687245369,20.347824096679688,0.2941349148750305,40.10737991333008,0.03557734936475754,3.299999952316284,0.1777999997138977,0.0,0.06134999915957451,3.1000001430511475,0.20000000298023224,0.0,0.13478915393352509,0.17951807379722595,0.21860119700431824
17040000,3408,3.1000001430511475,0.13983790576457977,20.20533561706543,-0.13165034353733063,40.673973083496094,0.03164314106106758,3.1000001430511475,0.13984999060630798,0.0,0.09769999980926514,3.0,0.10000000149011612,0.0,0.10000000149011612,0.13403615355491638,0.18497024476528168
17045000,3409,3.0,0.14837303757667542,18.13204574584961,-0.14251622557640076,36.54912567138672,0.029860589653253555,3.0,0.14659999310970306,0.0,0.06334999948740005,2.9000000953674316,0.10000000149011612,0.0,0.1463855504989624,0.14051204919815063,0.15282738208770752
17050000,3410,2.6000001430511475,0.1455109864473343,15.547904968261719,-0.7163223028182983,32.5284538269043,0.022242171689867973,2.6000001430511475,0.15004999935626984,0.0,0.09829999506473541,2.4000000953674316,0.10000000149011612,0.10000000149011612,0.15798193216323853,0.1655120551586151,0.12693452835083008
17055000,3411,2.799999952316284,0.13363364338874817,17.266630172729492,0.48774924874305725,33.557762145996094,0.02606886439025402,2.799999952316284,0.2035999894142151,0.0,0.1091499999165535,2.4000000953674316,0.20000000298023224,0.20000000298023224,0.19231927394866943,0.22048193216323853,0.19806548953056335
17060000,3412,2.6000001430511475,0.1139572486281395,15.550492286682129,-0.14570733904838562,31.392398834228516,0.022237636148929596,2.6000001430511475,0.13044999539852142,0.0,0.09775000065565109,2.4000000953674316,0.0,0.20000000298023224,0.12243976444005966,0.12816265225410461,0.140625
17065000,3413,3.4000000953674316,0.10723273456096649,20.592924118041992,-0.28234490752220154,41.75053787231445,0.0371997132897377,3.4000000953674316,0.09479999542236328,0.0,0.0580499991774559,3.200000047683716,0.20000000298023224,0.0,0.11265060305595398,0.08102409541606903,0.0907738134264946
17070000,3414,2.700000047683716,0.10786809027194977,16.32110595703125,0.17595629394054413,32.29029846191406,0.024184254929423332,2.700000047683716,0.14614999294281006,0.0,0.09014999866485596,2.4000000953674316,0.20000000298023224,0.10000000149011612,0.1722891628742218,0.13885542750358582,0.12752977013587952
17075000,3415,3.0,0.13198387622833252,16.766124725341797,-0.32511770725250244,34.1824836730957,0.02975361794233322,3.0,0.16245000064373016,0.0,0.07554999738931656,2.9000000953674316,0.10000000149011612,0.0,0.15978915989398956,0.15963855385780334,0.16785715520381927
17080000,3416,3.5,0.08869350701570511,21.53538703918457,-0.0038851804565638304,43.07854461669922,0.03903934732079506,3.5,0.18539999425411224,4.999999873689376e-05,0.06655000150203705,3.200000047683716,0.10000000149011612,0.20000000298023224,0.11746988445520401,0.2057228982448578,0.23244048655033112
17085000,3417,2.799999952316284,0.11024921387434006,16.257692337036133,-0.2764816880226135,33.0683479309082,0.025919625535607338,2.799999952316284,0.1529499888420105,0.0,0.10085000097751617,2.6000001430511475,0.10000000149011612,0.10000000149011612,0.1448795199394226,0.1685241013765335,0.14553572237491608
17090000,3418,3.9000000953674316,0.10332758724689484,26.106494903564453,0.2174888551235199,51.778011322021484,0.04660599306225777,3.9000000953674316,0.24904999136924744,4.999999873689376e-05,0.025599999353289604,3.299999952316284,0.4000000059604645,0.20000000298023224,0.21746988594532013,0.28539156913757324,0.24434524774551392
17095000,3419,4.0,0.0992368683218956,29.1143741607666,0.17985475063323975,57.86903762817383,0.048221442848443985,4.0,0.09759999811649323,0.0,0.08399999886751175,3.799999952316284,0.20000000298023224,0.0,0.12168674916028976,0.09171687066555023,0.079613097012043
17100000,3420,3.0,0.09987388551235199,18.7038631439209,-0.42996230721473694,38.26765060424805,0.029472384601831436,3.0,0.14794999361038208,0.0,0.10869999974966049,2.799999952316284,0.20000000298023224,0.0,0.12394578754901886,0.16129519045352936,0.1584821492433548
17105000,3421,2.700000047683716,0.07731898874044418,17.08363914489746,-0.3254156708717346,34.818111419677734,0.02382049709558487,2.700000047683716,0.17604999244213104,4.999999873689376e-05,0.11180000007152557,2.4000000953674316,0.20000000298023224,0.10000000149011612,0.13840362429618835,0.18569277226924896,0.20372024178504944
17110000,3422,3.0,0.07111869007349014,17.116960525512695,-0.6715275049209595,35.57697677612305,0.029567226767539978,3.0,0.22119998931884766,0.0,0.07154999673366547,2.799999952316284,0.20000000298023224,0.0,0.2118975967168808,0.23072288930416107,0.2209821492433548
17115000,3423,3.200000047683716,0.08832637965679169,19.678630828857422,0.5552285313606262,38.246803283691406,0.033174656331539154,3.200000047683716,0.18185000121593475,0.0,0.09524999558925629,2.9000000953674316,0.20000000298023224,0.10000000149011612,0.11867470294237137,0.19006024301052094,0.23616072535514832
17120000,3424,3.6000001430511475,0.09603329747915268,21.12282371520996,0.08078397810459137,42.08407974243164,0.04091111943125725,3.6000001430511475,0.20524999499320984,0.0,0.039400000125169754,3.299999952316284,0.10000000149011612,0.20000000298023224,0.14141567051410675,0.23373495042324066,0.24017858505249023
17125000,3425,3.6000001430511475,0.11751113086938858,20.531415939331055,-0.49766844511032104,42.058170318603516,0.04077620804309845,3.6000001430511475,0.2139499932527542,0.0,0.04554999992251396,3.200000047683716,0.20000000298023224,0.20000000298023224,0.17108434438705444,0.23463855683803558,0.2358631044626236
17130000,3426,3.299999952316284,0.11084401607513428,21.79157066345215,0.5256391763687134,42.531864166259766,0.03529772907495499,3.299999952316284,0.20645000040531158,0.0,0.03830000013113022,3.200000047683716,0.10000000149011612,0.0,0.12379518151283264,0.24653615057468414,0.2485119104385376
17135000,3427,3.4000000953674316,0.10586237162351608,17.62929344177246,-0.5278357267379761,36.31425857543945,0.03699694573879242,3.4000000953674316,0.23624999821186066,0.0,0.039000000804662704,3.1000001430511475,0.10000000149011612,0.20000000298023224,0.19924698770046234,0.27108433842658997,0.23839285969734192
17140000,3428,3.299999952316284,0.11106127500534058,19.28340721130371,-0.09391697496175766,38.7546501159668,0.03512044623494148,3.299999952316284,0.24364998936653137,0.0,0.05624999850988388,3.299999952316284,0.0,0.0,0.16957831382751465,0.27484941482543945,0.2860119044780731
17145000,3429,3.0,0.11565686762332916,17.081754684448242,-0.04435170069336891,34.25221252441406,0.029533101245760918,3.0,0.19619999825954437,0.0,0.06994999945163727,2.799999952316284,0.0,0.20000000298023224,0.1653614491224289,0.20602409541606903,0.21696428954601288
17150000,3430,2.700000047683716,0.07320987433195114,16.266990661621094,-0.6616498827934265,33.85728073120117,0.023850761353969574,2.700000047683716,0.27809998393058777,0.0,0.05624999850988388,2.6000001430511475,0.0,0.10000000149011612,0.2317771166563034,0.2897590398788452,0.31235119700431824
17155000,3431,2.799999952316284,0.11401010304689407,16.596267700195312,0.09400549530982971,33.00452423095703,0.025801684707403183,2.799999952316284,0.20349998772144318,4.999999873689376e-05,0.04999999701976776,2.6000001430511475,0.0,0.20000000298023224,0.2021084427833557,0.2079819291830063,0.20044644176959991
17160000,3432,3.4000000953674316,0.1014389842748642,20.251285552978516,0.4608957767486572,39.580780029296875,0.036946579813957214,3.4000000953674316,0.23589999973773956,4.999999873689376e-05,0.029249999672174454,2.9000000953674316,0.5,0.0,0.2134036123752594,0.23689760267734528,0.2571428716182709
17165000,3433,2.799999952316284,0.08466058224439621,17.093168258666992,-0.751552939414978,35.6894416809082,0.025541864335536957,2.799999952316284,0.2202499955892563,0.0,0.05114999786019325,2.4000000953674316,0.30000001192092896,0.10000000149011612,0.20753012597560883,0.22319278120994568,0.2299107164144516
17170000,3434,3.1000001430511475,0.09890951961278915,19.60011100769043,0.12503178417682648,38.950157165527344,0.031245961785316467,3.1000001430511475,0.26980000734329224,0.0,0.02070000022649765,2.9000000953674316,0.20000000298023224,0.0,0.22153614461421967,0.28795182704925537,0.2995535731315613
17175000,3435,3.4000000953674316,0.10925409942865372,21.409263610839844,0.06790310144424438,42.68272018432617,0.03678935021162033,3.4000000953674316,0.21369999647140503,0.0,0.026099998503923416,3.200000047683716,0.20000000298023224,0.0,0.19849398732185364,0.21927711367607117,0.2232142984867096
17180000,3436,3.5,0.11407260596752167,21.333723068237305,-0.15874214470386505,42.98493194580078,0.03920721635222435,3.5,0.24244999885559082,0.0,0.05929999798536301,3.4000000953674316,0.10000000149011612,0.0,0.1516566276550293,0.2768072485923767,0.29821428656578064
17185000,3437,3.0,0.104301817715168,16.583322525024414,-0.882128894329071,34.930904388427734,0.0294154342263937,3.0,0.24334999918937683,0.0,0.04019999876618385,2.799999952316284,0.0,0.20000000298023224,0.22906626760959625,0.25798192620277405,0.24300596117973328
17190000,3438,3.299999952316284,0.13835297524929047,20.105815887451172,0.12495702505111694,39.96171951293945,0.03503860905766487,3.299999952316284,0.12379999458789825,0.0,0.08954999595880508,2.5,0.5,0.30000001192092896,0.15286144614219666,0.12996987998485565,0.08898809552192688
17195000,3439,4.0,0.12125280499458313,25.52602195739746,0.7728654146194458,49.50631332397461,0.04796890914440155,4.0,0.23799999058246613,0.0,0.014399999752640724,3.9000000953674316,0.0,0.10000000149011612,0.16129519045352936,0.25256025791168213,0.2994047701358795
