E0612 19:16:11.398704    2695 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0612 19:16:11.415257    2653 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=mappo (centralised_critic=True, use_ppo=True, use_rnn=True)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=10000  (steps/update=5000)  seed=2
run-dir=runs/mappo_evo_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  [replay @ update 0] return 0.00  deliveries 0  -> runs/mappo_evo_tiny-4ag_seed2/replays/replay_upd000000_s0.npz
  upd  144 | return    0.100 | deliv   0.10 | blocked 35.5% | idle  0.4% | ent 0.765
  upd  145 | return    0.100 | deliv   0.10 | blocked 40.1% | idle  0.5% | ent 0.762
  upd  146 | return    0.000 | deliv   0.00 | blocked 40.7% | idle  0.4% | ent 0.786
  upd  147 | return    0.200 | deliv   0.20 | blocked 38.9% | idle  0.6% | ent 0.831
  upd  148 | return    0.100 | deliv   0.10 | blocked 34.8% | idle  0.6% | ent 0.806
  upd  149 | return    0.100 | deliv   0.10 | blocked 40.9% | idle  0.6% | ent 0.779
  upd  150 | return    0.100 | deliv   0.10 | blocked 42.1% | idle  0.4% | ent 0.784
  upd  151 | return    0.000 | deliv   0.00 | blocked 37.9% | idle  0.5% | ent 0.812
  upd  152 | return    0.000 | deliv   0.00 | blocked 37.2% | idle  0.6% | ent 0.837
  upd  153 | return    0.000 | deliv   0.00 | blocked 32.6% | idle  0.7% | ent 0.881
  upd  154 | return    0.500 | deliv   0.50 | blocked 28.3% | idle  0.9% | ent 0.859
  upd  155 | return    0.000 | deliv   0.00 | blocked 29.8% | idle  0.6% | ent 0.870
  upd  156 | return    0.000 | deliv   0.00 | blocked 33.3% | idle  0.6% | ent 0.831
  upd  157 | return    0.200 | deliv   0.20 | blocked 35.0% | idle  0.5% | ent 0.882
  upd  158 | return    0.300 | deliv   0.30 | blocked 30.6% | idle  0.5% | ent 0.788
  upd  159 | return    0.100 | deliv   0.10 | blocked 37.0% | idle  0.6% | ent 0.840
  upd  160 | return    0.100 | deliv   0.10 | blocked 34.2% | idle  0.7% | ent 0.874
  upd  161 | return    0.100 | deliv   0.10 | blocked 31.2% | idle  0.5% | ent 0.901
  upd  162 | return    0.100 | deliv   0.10 | blocked 28.8% | idle  0.7% | ent 0.915
  upd  163 | return    0.000 | deliv   0.00 | blocked 25.9% | idle  0.8% | ent 0.939
  upd  164 | return    0.000 | deliv   0.00 | blocked 22.3% | idle  0.9% | ent 0.941
  upd  165 | return    0.300 | deliv   0.30 | blocked 21.4% | idle  0.9% | ent 0.905
  upd  166 | return    0.300 | deliv   0.30 | blocked 26.6% | idle  0.7% | ent 0.920
  upd  167 | return    0.000 | deliv   0.00 | blocked 23.0% | idle  0.9% | ent 0.920
  upd  168 | return    0.100 | deliv   0.10 | blocked 25.1% | idle  0.8% | ent 0.899
  upd  169 | return    0.100 | deliv   0.10 | blocked 27.6% | idle  0.7% | ent 0.898
  upd  170 | return    0.000 | deliv   0.00 | blocked 25.5% | idle  0.7% | ent 0.910
  upd  171 | return    0.100 | deliv   0.10 | blocked 21.2% | idle  1.0% | ent 0.921
  upd  172 | return    0.000 | deliv   0.00 | blocked 17.4% | idle  1.0% | ent 0.925
  upd  173 | return    0.000 | deliv   0.00 | blocked 17.7% | idle  1.1% | ent 0.936
  upd  174 | return    0.000 | deliv   0.00 | blocked 15.7% | idle  1.5% | ent 0.953
  upd  175 | return    0.200 | deliv   0.20 | blocked 14.5% | idle  1.6% | ent 0.964
  upd  176 | return    0.200 | deliv   0.20 | blocked 16.0% | idle  1.8% | ent 0.978
  upd  177 | return    0.000 | deliv   0.00 | blocked 20.3% | idle  1.6% | ent 0.954
  upd  178 | return    0.100 | deliv   0.10 | blocked 20.9% | idle  1.3% | ent 0.946
  upd  179 | return    0.200 | deliv   0.20 | blocked 19.8% | idle  1.6% | ent 0.952
  upd  180 | return    0.100 | deliv   0.10 | blocked 16.9% | idle  1.7% | ent 0.962
  upd  181 | return    0.000 | deliv   0.00 | blocked 17.6% | idle  2.0% | ent 0.983
  upd  182 | return    0.000 | deliv   0.00 | blocked 17.2% | idle  2.4% | ent 0.984
  upd  183 | return    0.100 | deliv   0.10 | blocked 15.5% | idle  2.2% | ent 0.941
