E0603 10:12:55.239575    1230 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0603 10:12:55.252190    1187 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=seac (per-agent A2C, seac_coef=0.0, use_rnn=False)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=1000  (steps/update=5000)  seed=2
run-dir=runs/seac_fc_lam0_seed2  chunk=100 updates/save
  upd  126 | return    0.300 | deliv   0.30 | blocked 21.7% | idle  6.9% | ent 0.998
  upd  127 | return    0.000 | deliv   0.00 | blocked 23.8% | idle  6.7% | ent 0.996
  upd  128 | return    0.300 | deliv   0.30 | blocked 23.8% | idle  6.5% | ent 0.988
  upd  129 | return    0.200 | deliv   0.20 | blocked 27.9% | idle  6.6% | ent 0.954
  upd  130 | return    0.200 | deliv   0.20 | blocked 27.8% | idle  5.8% | ent 0.932
  upd  131 | return    0.300 | deliv   0.30 | blocked 29.5% | idle  5.6% | ent 0.933
  upd  132 | return    0.200 | deliv   0.20 | blocked 32.8% | idle  6.0% | ent 0.913
  upd  133 | return    0.300 | deliv   0.30 | blocked 32.1% | idle  5.0% | ent 0.887
  upd  134 | return    0.400 | deliv   0.40 | blocked 35.6% | idle  4.5% | ent 0.845
  upd  135 | return    0.000 | deliv   0.00 | blocked 35.5% | idle  4.9% | ent 0.856
  upd  136 | return    0.000 | deliv   0.00 | blocked 36.5% | idle  4.7% | ent 0.835
  upd  137 | return    0.500 | deliv   0.50 | blocked 38.3% | idle  4.3% | ent 0.804
  upd  138 | return    0.300 | deliv   0.30 | blocked 40.6% | idle  4.0% | ent 0.803
  upd  139 | return    0.200 | deliv   0.20 | blocked 38.5% | idle  4.0% | ent 0.779
  upd  140 | return    0.500 | deliv   0.50 | blocked 41.0% | idle  3.9% | ent 0.777
  upd  141 | return    0.000 | deliv   0.00 | blocked 42.0% | idle  3.6% | ent 0.760
  upd  142 | return    0.100 | deliv   0.10 | blocked 41.0% | idle  3.6% | ent 0.760
  upd  143 | return    0.300 | deliv   0.30 | blocked 42.2% | idle  3.6% | ent 0.743
  upd  144 | return    0.400 | deliv   0.40 | blocked 42.0% | idle  3.1% | ent 0.729
  upd  145 | return    0.000 | deliv   0.00 | blocked 42.6% | idle  3.0% | ent 0.735
  upd  146 | return    0.100 | deliv   0.10 | blocked 43.8% | idle  3.0% | ent 0.722
  upd  147 | return    0.100 | deliv   0.10 | blocked 41.5% | idle  3.0% | ent 0.736
  upd  148 | return    0.400 | deliv   0.40 | blocked 43.3% | idle  2.8% | ent 0.739
  upd  149 | return    0.200 | deliv   0.20 | blocked 42.3% | idle  2.6% | ent 0.742
  upd  150 | return    0.100 | deliv   0.10 | blocked 43.6% | idle  2.6% | ent 0.727
  upd  151 | return    0.000 | deliv   0.00 | blocked 42.2% | idle  2.7% | ent 0.740
  upd  152 | return    0.200 | deliv   0.20 | blocked 43.7% | idle  2.8% | ent 0.733
  upd  153 | return    0.000 | deliv   0.00 | blocked 44.2% | idle  2.3% | ent 0.731
  upd  154 | return    0.100 | deliv   0.10 | blocked 41.9% | idle  2.6% | ent 0.731
  upd  155 | return    0.200 | deliv   0.20 | blocked 43.4% | idle  2.4% | ent 0.730
  upd  156 | return    0.000 | deliv   0.00 | blocked 42.4% | idle  2.3% | ent 0.727
  upd  157 | return    0.200 | deliv   0.20 | blocked 40.3% | idle  2.4% | ent 0.752
  upd  158 | return    0.000 | deliv   0.00 | blocked 39.0% | idle  2.6% | ent 0.763
  upd  159 | return    0.000 | deliv   0.00 | blocked 39.9% | idle  2.4% | ent 0.758
  upd  160 | return    0.000 | deliv   0.00 | blocked 39.7% | idle  2.1% | ent 0.748
  upd  161 | return    0.000 | deliv   0.00 | blocked 40.0% | idle  2.0% | ent 0.741
  upd  162 | return    0.200 | deliv   0.20 | blocked 40.0% | idle  2.0% | ent 0.729
  upd  163 | return    0.300 | deliv   0.30 | blocked 38.8% | idle  2.4% | ent 0.747
  upd  164 | return    0.300 | deliv   0.30 | blocked 36.7% | idle  2.3% | ent 0.750
  upd  165 | return    0.300 | deliv   0.30 | blocked 35.3% | idle  2.3% | ent 0.772
  upd  166 | return    0.200 | deliv   0.20 | blocked 37.9% | idle  2.1% | ent 0.758
  upd  167 | return    0.200 | deliv   0.20 | blocked 37.8% | idle  2.0% | ent 0.750
  upd  168 | return    0.200 | deliv   0.20 | blocked 35.9% | idle  2.2% | ent 0.763
  upd  169 | return    0.400 | deliv   0.40 | blocked 38.2% | idle  1.9% | ent 0.742
  upd  170 | return    0.100 | deliv   0.10 | blocked 38.1% | idle  2.1% | ent 0.765
  upd  171 | return    0.200 | deliv   0.20 | blocked 37.0% | idle  2.2% | ent 0.746
