E0612 22:33:23.491862   13141 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0612 22:33:23.508828   13099 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=ippo (centralised_critic=False, use_ppo=True, use_rnn=True)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=4000  (steps/update=5000)  seed=2
run-dir=runs/ippo_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  [replay @ update 0] return 0.00  deliveries 0  -> runs/ippo_tiny-4ag_seed2/replays/replay_upd000000_s0.npz
  upd  126 | return    0.000 | deliv   0.00 | blocked 67.4% | idle  3.6% | ent 0.862
  upd  127 | return    0.000 | deliv   0.00 | blocked 61.5% | idle  4.3% | ent 0.935
  upd  128 | return    0.000 | deliv   0.00 | blocked 55.9% | idle  5.3% | ent 0.998
  upd  129 | return    0.000 | deliv   0.00 | blocked 53.1% | idle  6.8% | ent 1.065
  upd  130 | return    0.000 | deliv   0.00 | blocked 51.1% | idle  7.9% | ent 1.089
  upd  131 | return    0.000 | deliv   0.00 | blocked 49.1% | idle  8.6% | ent 1.077
  upd  132 | return    0.000 | deliv   0.00 | blocked 50.8% | idle  9.5% | ent 1.085
  upd  133 | return    0.000 | deliv   0.00 | blocked 51.8% | idle 10.3% | ent 1.131
  upd  134 | return    0.000 | deliv   0.00 | blocked 48.6% | idle 12.1% | ent 1.215
  upd  135 | return    0.100 | deliv   0.10 | blocked 41.2% | idle 14.8% | ent 1.316
  upd  136 | return    0.000 | deliv   0.00 | blocked 34.0% | idle 16.2% | ent 1.280
  upd  137 | return    0.000 | deliv   0.00 | blocked 40.2% | idle 16.1% | ent 1.247
  upd  138 | return    0.000 | deliv   0.00 | blocked 43.6% | idle 16.6% | ent 1.215
  upd  139 | return    0.000 | deliv   0.00 | blocked 44.7% | idle 19.1% | ent 1.217
  upd  140 | return    0.000 | deliv   0.00 | blocked 43.3% | idle 22.7% | ent 1.248
  upd  141 | return    0.000 | deliv   0.00 | blocked 40.3% | idle 26.5% | ent 1.249
  upd  142 | return    0.000 | deliv   0.00 | blocked 40.3% | idle 27.5% | ent 1.241
  upd  143 | return    0.000 | deliv   0.00 | blocked 39.1% | idle 29.0% | ent 1.241
  upd  144 | return    0.000 | deliv   0.00 | blocked 40.1% | idle 26.3% | ent 1.228
  upd  145 | return    0.000 | deliv   0.00 | blocked 38.0% | idle 30.4% | ent 1.240
  upd  146 | return    0.000 | deliv   0.00 | blocked 32.0% | idle 37.2% | ent 1.237
  upd  147 | return    0.000 | deliv   0.00 | blocked 30.0% | idle 37.9% | ent 1.204
  upd  148 | return    0.000 | deliv   0.00 | blocked 31.0% | idle 39.9% | ent 1.198
  upd  149 | return    0.000 | deliv   0.00 | blocked 29.6% | idle 41.6% | ent 1.201
  upd  150 | return    0.000 | deliv   0.00 | blocked 30.6% | idle 40.7% | ent 1.222
  upd  151 | return    0.000 | deliv   0.00 | blocked 28.9% | idle 36.6% | ent 1.228
  upd  152 | return    0.000 | deliv   0.00 | blocked 29.9% | idle 35.4% | ent 1.245
  upd  153 | return    0.000 | deliv   0.00 | blocked 29.0% | idle 35.4% | ent 1.242
  upd  154 | return    0.000 | deliv   0.00 | blocked 27.0% | idle 36.8% | ent 1.255
  upd  155 | return    0.000 | deliv   0.00 | blocked 27.9% | idle 33.4% | ent 1.252
  upd  156 | return    0.000 | deliv   0.00 | blocked 28.0% | idle 30.3% | ent 1.252
  upd  157 | return    0.000 | deliv   0.00 | blocked 28.5% | idle 28.5% | ent 1.241
  upd  158 | return    0.000 | deliv   0.00 | blocked 31.0% | idle 26.5% | ent 1.236
  upd  159 | return    0.000 | deliv   0.00 | blocked 29.9% | idle 26.2% | ent 1.230
  upd  160 | return    0.000 | deliv   0.00 | blocked 24.5% | idle 31.2% | ent 1.223
  upd  161 | return    0.000 | deliv   0.00 | blocked 22.9% | idle 32.5% | ent 1.214
  upd  162 | return    0.000 | deliv   0.00 | blocked 24.0% | idle 35.2% | ent 1.209
  upd  163 | return    0.000 | deliv   0.00 | blocked 24.4% | idle 37.2% | ent 1.195
  upd  164 | return    0.000 | deliv   0.00 | blocked 27.0% | idle 37.5% | ent 1.202
  upd  165 | return    0.000 | deliv   0.00 | blocked 31.0% | idle 31.5% | ent 1.200
  upd  166 | return    0.000 | deliv   0.00 | blocked 37.1% | idle 25.5% | ent 1.163
  upd  167 | return    0.000 | deliv   0.00 | blocked 43.5% | idle 20.1% | ent 1.116
  upd  168 | return    0.000 | deliv   0.00 | blocked 45.7% | idle 16.1% | ent 1.112
  upd  169 | return    0.000 | deliv   0.00 | blocked 45.2% | idle 15.0% | ent 1.133
  upd  170 | return    0.000 | deliv   0.00 | blocked 39.3% | idle 16.0% | ent 1.168
  upd  171 | return    0.000 | deliv   0.00 | blocked 32.4% | idle 18.1% | ent 1.183
  upd  172 | return    0.000 | deliv   0.00 | blocked 27.2% | idle 20.1% | ent 1.184
  upd  173 | return    0.000 | deliv   0.00 | blocked 25.4% | idle 24.1% | ent 1.181
  upd  174 | return    0.100 | deliv   0.10 | blocked 24.8% | idle 25.5% | ent 1.157
  upd  175 | return    0.000 | deliv   0.00 | blocked 25.0% | idle 28.1% | ent 1.162
  upd  176 | return    0.000 | deliv   0.00 | blocked 24.0% | idle 24.8% | ent 1.147
  upd  177 | return    0.000 | deliv   0.00 | blocked 26.9% | idle 22.3% | ent 1.135
  upd  178 | return    0.000 | deliv   0.00 | blocked 23.4% | idle 19.9% | ent 1.116
  upd  179 | return    0.000 | deliv   0.00 | blocked 25.1% | idle 18.7% | ent 1.095
  upd  180 | return    0.100 | deliv   0.10 | blocked 28.7% | idle 16.6% | ent 1.091
  upd  181 | return    0.000 | deliv   0.00 | blocked 27.7% | idle 15.5% | ent 1.092
  upd  182 | return    0.300 | deliv   0.30 | blocked 23.1% | idle 14.9% | ent 1.067
  upd  183 | return    0.000 | deliv   0.00 | blocked 27.7% | idle  8.9% | ent 0.990
  upd  184 | return    0.000 | deliv   0.00 | blocked 27.9% | idle  6.8% | ent 0.986
  upd  185 | return    0.000 | deliv   0.00 | blocked 27.2% | idle  6.5% | ent 0.992
  upd  186 | return    0.200 | deliv   0.20 | blocked 26.7% | idle  6.5% | ent 0.968
  upd  187 | return    0.000 | deliv   0.00 | blocked 26.9% | idle  5.9% | ent 0.946
  upd  188 | return    0.100 | deliv   0.10 | blocked 29.7% | idle  5.9% | ent 0.924
  upd  189 | return    0.000 | deliv   0.00 | blocked 27.5% | idle  6.9% | ent 0.919
  upd  190 | return    0.000 | deliv   0.00 | blocked 24.7% | idle  7.3% | ent 0.951
  upd  191 | return    0.000 | deliv   0.00 | blocked 26.9% | idle  9.5% | ent 0.935
  upd  192 | return    0.000 | deliv   0.00 | blocked 21.6% | idle  9.5% | ent 0.926
  upd  193 | return    0.000 | deliv   0.00 | blocked 23.2% | idle 11.2% | ent 0.907
  upd  194 | return    0.000 | deliv   0.00 | blocked 22.8% | idle  9.5% | ent 0.873
  upd  195 | return    0.000 | deliv   0.00 | blocked 19.2% | idle  8.5% | ent 0.830
