E0614 08:40:09.906223    1929 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0614 08:40:09.932381    1887 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=ia2c (centralised_critic=False, use_ppo=False, use_rnn=True)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=4000  (steps/update=5000)  seed=0
run-dir=runs/ia2c_tiny-4ag_seed0  chunk=100 updates/save  max_to_keep=5
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  upd  217 | return    0.000 | deliv   0.00 | blocked 15.9% | idle 24.2% | ent 1.214
  upd  218 | return    0.000 | deliv   0.00 | blocked 14.4% | idle 25.3% | ent 1.196
  upd  219 | return    0.000 | deliv   0.00 | blocked 16.9% | idle 24.6% | ent 1.228
  upd  220 | return    0.000 | deliv   0.00 | blocked 14.5% | idle 26.1% | ent 1.230
  upd  221 | return    0.000 | deliv   0.00 | blocked 16.1% | idle 25.7% | ent 1.208
  upd  222 | return    0.000 | deliv   0.00 | blocked 14.8% | idle 26.2% | ent 1.206
  upd  223 | return    0.000 | deliv   0.00 | blocked 16.3% | idle 26.9% | ent 1.237
  upd  224 | return    0.000 | deliv   0.00 | blocked 15.5% | idle 27.4% | ent 1.210
  upd  225 | return    0.000 | deliv   0.00 | blocked 17.8% | idle 25.4% | ent 1.214
  upd  226 | return    0.000 | deliv   0.00 | blocked 16.0% | idle 25.9% | ent 1.231
  upd  227 | return    0.000 | deliv   0.00 | blocked 17.8% | idle 26.2% | ent 1.208
  upd  228 | return    0.000 | deliv   0.00 | blocked 16.9% | idle 26.9% | ent 1.235
  upd  229 | return    0.000 | deliv   0.00 | blocked 15.2% | idle 27.3% | ent 1.236
  upd  230 | return    0.000 | deliv   0.00 | blocked 17.1% | idle 27.2% | ent 1.211
  upd  231 | return    0.000 | deliv   0.00 | blocked 18.4% | idle 26.6% | ent 1.204
  upd  232 | return    0.000 | deliv   0.00 | blocked 17.0% | idle 26.0% | ent 1.238
  upd  233 | return    0.000 | deliv   0.00 | blocked 17.3% | idle 26.0% | ent 1.193
  upd  234 | return    0.000 | deliv   0.00 | blocked 17.8% | idle 27.5% | ent 1.232
  upd  235 | return    0.000 | deliv   0.00 | blocked 18.0% | idle 26.0% | ent 1.201
  upd  236 | return    0.000 | deliv   0.00 | blocked 17.0% | idle 26.4% | ent 1.191
  upd  237 | return    0.000 | deliv   0.00 | blocked 19.5% | idle 27.1% | ent 1.203
  upd  238 | return    0.000 | deliv   0.00 | blocked 15.5% | idle 28.1% | ent 1.238
  upd  239 | return    0.000 | deliv   0.00 | blocked 19.4% | idle 26.4% | ent 1.201
  upd  240 | return    0.000 | deliv   0.00 | blocked 17.9% | idle 27.4% | ent 1.212
  upd  241 | return    0.000 | deliv   0.00 | blocked 19.1% | idle 26.7% | ent 1.201
  upd  242 | return    0.000 | deliv   0.00 | blocked 19.4% | idle 27.7% | ent 1.217
  upd  243 | return    0.000 | deliv   0.00 | blocked 20.2% | idle 27.8% | ent 1.213
  upd  244 | return    0.000 | deliv   0.00 | blocked 19.8% | idle 27.5% | ent 1.215
  upd  245 | return    0.000 | deliv   0.00 | blocked 18.4% | idle 27.1% | ent 1.206
  upd  246 | return    0.000 | deliv   0.00 | blocked 19.1% | idle 27.9% | ent 1.222
  upd  247 | return    0.100 | deliv   0.10 | blocked 20.1% | idle 27.4% | ent 1.239
  upd  248 | return    0.000 | deliv   0.00 | blocked 20.2% | idle 26.9% | ent 1.231
  upd  249 | return    0.000 | deliv   0.00 | blocked 18.3% | idle 27.5% | ent 1.210
  upd  250 | return    0.000 | deliv   0.00 | blocked 20.4% | idle 27.2% | ent 1.191
  upd  251 | return    0.000 | deliv   0.00 | blocked 18.8% | idle 27.8% | ent 1.226
  upd  252 | return    0.000 | deliv   0.00 | blocked 17.3% | idle 28.0% | ent 1.190
  upd  253 | return    0.000 | deliv   0.00 | blocked 14.2% | idle 30.1% | ent 1.246
