E0602 22:37:41.946430     450 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0602 22:37:41.968346     401 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=maa2c (centralised_critic=True, use_ppo=False)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=1000  (steps/update=5000)  seed=2
run-dir=runs/maa2c_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  upd  175 | return    0.300 | deliv   0.30 | blocked 30.6% | idle  0.5% | ent 0.709
  upd  176 | return    0.200 | deliv   0.20 | blocked 33.5% | idle  0.4% | ent 0.704
  upd  177 | return    0.200 | deliv   0.20 | blocked 30.0% | idle  0.5% | ent 0.728
  upd  178 | return    0.200 | deliv   0.20 | blocked 33.6% | idle  0.3% | ent 0.727
  upd  179 | return    0.200 | deliv   0.20 | blocked 31.2% | idle  0.5% | ent 0.732
  upd  180 | return    0.100 | deliv   0.10 | blocked 29.2% | idle  0.6% | ent 0.758
  upd  181 | return    0.400 | deliv   0.40 | blocked 29.8% | idle  0.5% | ent 0.763
  upd  182 | return    0.100 | deliv   0.10 | blocked 30.0% | idle  0.5% | ent 0.770
  upd  183 | return    0.200 | deliv   0.20 | blocked 28.3% | idle  0.6% | ent 0.784
  upd  184 | return    0.100 | deliv   0.10 | blocked 29.0% | idle  0.5% | ent 0.791
  upd  185 | return    0.100 | deliv   0.10 | blocked 28.2% | idle  0.5% | ent 0.801
  upd  186 | return    0.300 | deliv   0.30 | blocked 29.2% | idle  0.5% | ent 0.809
  upd  187 | return    0.200 | deliv   0.20 | blocked 24.9% | idle  0.5% | ent 0.835
  upd  188 | return    0.200 | deliv   0.20 | blocked 25.2% | idle  0.6% | ent 0.833
  upd  189 | return    0.000 | deliv   0.00 | blocked 24.0% | idle  0.4% | ent 0.834
  upd  190 | return    0.200 | deliv   0.20 | blocked 23.3% | idle  0.6% | ent 0.849
  upd  191 | return    0.000 | deliv   0.00 | blocked 24.3% | idle  0.4% | ent 0.840
  upd  192 | return    0.200 | deliv   0.20 | blocked 22.8% | idle  0.4% | ent 0.818
  upd  193 | return    0.100 | deliv   0.10 | blocked 26.0% | idle  0.6% | ent 0.822
  upd  194 | return    0.100 | deliv   0.10 | blocked 26.2% | idle  0.5% | ent 0.794
  upd  195 | return    0.000 | deliv   0.00 | blocked 30.6% | idle  0.5% | ent 0.778
  upd  196 | return    0.000 | deliv   0.00 | blocked 32.2% | idle  0.4% | ent 0.779
  upd  197 | return    0.000 | deliv   0.00 | blocked 31.1% | idle  0.4% | ent 0.768
  upd  198 | return    0.000 | deliv   0.00 | blocked 33.5% | idle  0.3% | ent 0.757
  upd  199 | return    0.300 | deliv   0.30 | blocked 31.5% | idle  0.4% | ent 0.763
[commentary @ update 200]
  deliveries/episode ~0.2 ▼   team return ~0.18 ▼
  contention (forward-blocked) 31.2% ▲   idle 0.5%
  barely any deliveries yet across the episode (early 0.1 / mid 0.1 / late 0.1)
  upd  200 | return    0.200 | deliv   0.20 | blocked 33.2% | idle  0.4% | ent 0.747
  upd  201 | return    0.200 | deliv   0.20 | blocked 35.0% | idle  0.5% | ent 0.742
  upd  202 | return    0.000 | deliv   0.00 | blocked 35.1% | idle  0.5% | ent 0.723
  upd  203 | return    0.200 | deliv   0.20 | blocked 38.2% | idle  0.4% | ent 0.706
  upd  204 | return    0.000 | deliv   0.00 | blocked 41.3% | idle  0.4% | ent 0.692
  upd  205 | return    0.000 | deliv   0.00 | blocked 36.3% | idle  0.5% | ent 0.706
  upd  206 | return    0.300 | deliv   0.30 | blocked 34.4% | idle  0.5% | ent 0.711
  upd  207 | return    0.100 | deliv   0.10 | blocked 38.6% | idle  0.5% | ent 0.706
  upd  208 | return    0.100 | deliv   0.10 | blocked 38.1% | idle  0.5% | ent 0.717
  upd  209 | return    0.100 | deliv   0.10 | blocked 34.6% | idle  0.6% | ent 0.735
  upd  210 | return    0.100 | deliv   0.10 | blocked 36.3% | idle  0.5% | ent 0.749
  upd  211 | return    0.000 | deliv   0.00 | blocked 33.7% | idle  0.6% | ent 0.771
  upd  212 | return    0.100 | deliv   0.10 | blocked 31.5% | idle  0.6% | ent 0.797
