E0614 00:22:39.568782   17332 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0614 00:22:39.586518   17290 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=maa2c (centralised_critic=True, use_ppo=False, use_rnn=True)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=4000  (steps/update=5000)  seed=2
run-dir=runs/maa2c_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
resumed from checkpoint step 3000 (latest) (15,000,000 env steps)
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  [replay @ update 3000] return 4.00  deliveries 4  -> runs/maa2c_tiny-4ag_seed2/replays/replay_upd003000_s0.npz
  upd 3196 | return    2.400 | deliv   2.40 | blocked 12.7% | idle  0.4% | ent 0.515
  upd 3197 | return    3.000 | deliv   3.00 | blocked 12.5% | idle  0.4% | ent 0.539
  upd 3198 | return    4.800 | deliv   4.80 | blocked 11.7% | idle  0.3% | ent 0.542
  upd 3199 | return    3.600 | deliv   3.60 | blocked 14.5% | idle  0.4% | ent 0.546
  [replay @ update 3200] return 1.00  deliveries 1  -> runs/maa2c_tiny-4ag_seed2/replays/replay_upd003200_s0.npz
  upd 3200 | return    4.300 | deliv   4.30 | blocked 13.6% | idle  0.4% | ent 0.508
  upd 3201 | return    4.500 | deliv   4.50 | blocked 12.3% | idle  0.4% | ent 0.534
  upd 3202 | return    4.100 | deliv   4.10 | blocked 13.3% | idle  0.3% | ent 0.521
  upd 3203 | return    2.800 | deliv   2.80 | blocked 13.0% | idle  0.4% | ent 0.527
  upd 3204 | return    5.000 | deliv   5.00 | blocked 12.4% | idle  0.4% | ent 0.541
  upd 3205 | return    3.700 | deliv   3.70 | blocked 15.4% | idle  0.5% | ent 0.557
  upd 3206 | return    4.900 | deliv   4.90 | blocked 11.9% | idle  0.3% | ent 0.529
  upd 3207 | return    4.200 | deliv   4.20 | blocked 15.4% | idle  0.5% | ent 0.516
  upd 3208 | return    4.300 | deliv   4.30 | blocked 14.3% | idle  0.5% | ent 0.516
  upd 3209 | return    5.200 | deliv   5.20 | blocked 13.5% | idle  0.5% | ent 0.584
  upd 3210 | return    6.200 | deliv   6.20 | blocked 14.6% | idle  0.4% | ent 0.572
  upd 3211 | return    3.600 | deliv   3.60 | blocked 15.7% | idle  0.5% | ent 0.550
  upd 3212 | return    3.500 | deliv   3.50 | blocked 14.7% | idle  0.4% | ent 0.534
  upd 3213 | return    4.600 | deliv   4.60 | blocked 13.5% | idle  0.4% | ent 0.552
  upd 3214 | return    3.500 | deliv   3.50 | blocked 16.0% | idle  0.5% | ent 0.523
  upd 3215 | return    4.300 | deliv   4.30 | blocked 18.5% | idle  0.4% | ent 0.488
