E0614 00:51:54.171492     452 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0614 00:51:54.190415     407 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=ia2c (centralised_critic=False, use_ppo=False, use_rnn=True)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=4000  (steps/update=5000)  seed=2
run-dir=runs/ia2c_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
resumed from checkpoint step 2000 (latest) (10,000,000 env steps)
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  [replay @ update 2000] return 4.00  deliveries 4  -> runs/ia2c_tiny-4ag_seed2/replays/replay_upd002000_s0.npz
  upd 2152 | return    3.500 | deliv   3.50 | blocked 14.8% | idle  0.1% | ent 0.376
  upd 2153 | return    4.000 | deliv   4.00 | blocked  8.1% | idle  0.1% | ent 0.403
  upd 2154 | return    4.400 | deliv   4.40 | blocked 11.4% | idle  0.2% | ent 0.395
  upd 2155 | return    3.200 | deliv   3.20 | blocked 10.1% | idle  0.2% | ent 0.406
  upd 2156 | return    3.600 | deliv   3.60 | blocked 15.0% | idle  0.1% | ent 0.369
  upd 2157 | return    3.600 | deliv   3.60 | blocked  5.2% | idle  0.2% | ent 0.416
  upd 2158 | return    4.900 | deliv   4.90 | blocked  7.5% | idle  0.1% | ent 0.398
  upd 2159 | return    2.500 | deliv   2.50 | blocked 25.1% | idle  0.1% | ent 0.328
  upd 2160 | return    2.800 | deliv   2.80 | blocked  7.6% | idle  0.1% | ent 0.409
  upd 2161 | return    2.700 | deliv   2.70 | blocked 12.1% | idle  0.1% | ent 0.357
  upd 2162 | return    4.200 | deliv   4.20 | blocked 14.2% | idle  0.2% | ent 0.362
  upd 2163 | return    3.100 | deliv   3.10 | blocked 25.9% | idle  0.1% | ent 0.348
  upd 2164 | return    4.600 | deliv   4.60 | blocked 14.9% | idle  0.1% | ent 0.339
  upd 2165 | return    4.100 | deliv   4.10 | blocked 12.5% | idle  0.2% | ent 0.355
  upd 2166 | return    4.400 | deliv   4.40 | blocked 15.3% | idle  0.2% | ent 0.369
  upd 2167 | return    4.100 | deliv   4.10 | blocked 14.3% | idle  0.1% | ent 0.354
  upd 2168 | return    3.500 | deliv   3.50 | blocked 11.5% | idle  0.2% | ent 0.393
  upd 2169 | return    3.100 | deliv   3.10 | blocked  8.1% | idle  0.2% | ent 0.416
  upd 2170 | return    4.200 | deliv   4.20 | blocked  9.3% | idle  0.1% | ent 0.402
  upd 2171 | return    2.800 | deliv   2.80 | blocked 13.5% | idle  0.2% | ent 0.382
  upd 2172 | return    4.600 | deliv   4.60 | blocked 12.3% | idle  0.2% | ent 0.404
  upd 2173 | return    4.400 | deliv   4.40 | blocked 13.9% | idle  0.2% | ent 0.409
  upd 2174 | return    3.500 | deliv   3.50 | blocked  8.2% | idle  0.2% | ent 0.444
  upd 2175 | return    4.500 | deliv   4.50 | blocked 10.5% | idle  0.2% | ent 0.402
  upd 2176 | return    4.400 | deliv   4.40 | blocked  5.8% | idle  0.3% | ent 0.455
  upd 2177 | return    3.900 | deliv   3.90 | blocked  6.9% | idle  0.2% | ent 0.418
  upd 2178 | return    4.200 | deliv   4.20 | blocked 10.2% | idle  0.3% | ent 0.426
  upd 2179 | return    4.700 | deliv   4.70 | blocked 10.4% | idle  0.3% | ent 0.447
  upd 2180 | return    3.800 | deliv   3.80 | blocked  9.0% | idle  0.1% | ent 0.405
  upd 2181 | return    3.500 | deliv   3.50 | blocked 12.8% | idle  0.1% | ent 0.389
  upd 2182 | return    4.800 | deliv   4.80 | blocked  9.6% | idle  0.2% | ent 0.422
  upd 2183 | return    4.200 | deliv   4.20 | blocked 13.9% | idle  0.2% | ent 0.386
  upd 2184 | return    2.900 | deliv   2.90 | blocked  7.7% | idle  0.1% | ent 0.360
  upd 2185 | return    3.400 | deliv   3.40 | blocked 10.0% | idle  0.1% | ent 0.366
  upd 2186 | return    3.700 | deliv   3.70 | blocked  8.0% | idle  0.2% | ent 0.415
  upd 2187 | return    4.700 | deliv   4.70 | blocked  6.6% | idle  0.2% | ent 0.408
  upd 2188 | return    5.100 | deliv   5.10 | blocked  8.3% | idle  0.2% | ent 0.443
  upd 2189 | return    4.300 | deliv   4.30 | blocked 13.0% | idle  0.1% | ent 0.361
  upd 2190 | return    4.500 | deliv   4.50 | blocked  8.6% | idle  0.2% | ent 0.385
  upd 2191 | return    4.300 | deliv   4.30 | blocked 16.9% | idle  0.1% | ent 0.361
  upd 2192 | return    4.100 | deliv   4.10 | blocked 11.1% | idle  0.2% | ent 0.378
  upd 2193 | return    4.500 | deliv   4.50 | blocked  9.3% | idle  0.1% | ent 0.385
  upd 2194 | return    4.800 | deliv   4.80 | blocked 12.0% | idle  0.1% | ent 0.386
  upd 2195 | return    3.400 | deliv   3.40 | blocked 12.3% | idle  0.2% | ent 0.363
  upd 2196 | return    4.500 | deliv   4.50 | blocked  8.4% | idle  0.2% | ent 0.391
  upd 2197 | return    5.600 | deliv   5.60 | blocked 12.5% | idle  0.1% | ent 0.372
  upd 2198 | return    3.300 | deliv   3.30 | blocked 24.5% | idle  0.1% | ent 0.320
  upd 2199 | return    4.500 | deliv   4.50 | blocked 10.4% | idle  0.1% | ent 0.355
  [replay @ update 2200] return 1.00  deliveries 1  -> runs/ia2c_tiny-4ag_seed2/replays/replay_upd002200_s0.npz
  upd 2200 | return    4.500 | deliv   4.50 | blocked 15.5% | idle  0.1% | ent 0.369
