E0603 07:59:14.077652     439 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0603 07:59:14.096776     393 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=mappo (centralised_critic=True, use_ppo=True, use_rnn=True)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=600  (steps/update=5000)  seed=2
run-dir=runs/mappo_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  upd  214 | return    0.000 | deliv   0.00 | blocked 53.5% | idle  1.6% | ent 0.796
  upd  215 | return    0.200 | deliv   0.20 | blocked 56.6% | idle  1.8% | ent 0.777
  upd  216 | return    0.000 | deliv   0.00 | blocked 59.2% | idle  1.4% | ent 0.778
  upd  217 | return    0.000 | deliv   0.00 | blocked 56.3% | idle  1.6% | ent 0.750
  upd  218 | return    0.000 | deliv   0.00 | blocked 60.3% | idle  1.5% | ent 0.717
  upd  219 | return    0.200 | deliv   0.20 | blocked 61.6% | idle  1.3% | ent 0.675
  upd  220 | return    0.100 | deliv   0.10 | blocked 66.7% | idle  1.3% | ent 0.729
  upd  221 | return    0.200 | deliv   0.20 | blocked 62.9% | idle  2.0% | ent 0.706
  upd  222 | return    0.000 | deliv   0.00 | blocked 66.6% | idle  3.3% | ent 0.704
  upd  223 | return    0.000 | deliv   0.00 | blocked 68.6% | idle  3.4% | ent 0.678
  upd  224 | return    0.100 | deliv   0.10 | blocked 70.1% | idle  3.2% | ent 0.677
  upd  225 | return    0.200 | deliv   0.20 | blocked 71.1% | idle  3.4% | ent 0.755
  upd  226 | return    0.000 | deliv   0.00 | blocked 64.7% | idle  4.5% | ent 0.805
  upd  227 | return    0.200 | deliv   0.20 | blocked 64.2% | idle  4.4% | ent 0.764
  upd  228 | return    0.000 | deliv   0.00 | blocked 66.3% | idle  4.6% | ent 0.672
  upd  229 | return    0.100 | deliv   0.10 | blocked 68.9% | idle  3.6% | ent 0.653
  upd  230 | return    0.500 | deliv   0.50 | blocked 68.6% | idle  3.3% | ent 0.633
  upd  231 | return    0.000 | deliv   0.00 | blocked 72.6% | idle  3.3% | ent 0.505
  upd  232 | return    0.000 | deliv   0.00 | blocked 78.5% | idle  2.4% | ent 0.482
  upd  233 | return    0.100 | deliv   0.10 | blocked 78.0% | idle  2.3% | ent 0.520
  upd  234 | return    0.100 | deliv   0.10 | blocked 76.5% | idle  2.5% | ent 0.563
  upd  235 | return    0.000 | deliv   0.00 | blocked 76.0% | idle  2.5% | ent 0.522
  upd  236 | return    0.000 | deliv   0.00 | blocked 78.2% | idle  2.5% | ent 0.532
  upd  237 | return    0.000 | deliv   0.00 | blocked 75.8% | idle  2.9% | ent 0.564
