E0603 10:10:58.511479     450 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0603 10:10:58.529362     401 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=seac (per-agent A2C, seac_coef=1.0, use_rnn=False)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=1000  (steps/update=5000)  seed=2
run-dir=runs/seac_fc_lam1_seed2  chunk=100 updates/save
  upd  130 | return    0.100 | deliv   0.10 | blocked 13.5% | idle  5.4% | ent 0.716
  upd  131 | return    0.100 | deliv   0.10 | blocked 12.9% | idle  5.3% | ent 0.734
  upd  132 | return    0.100 | deliv   0.10 | blocked 13.9% | idle  5.5% | ent 0.756
  upd  133 | return    0.100 | deliv   0.10 | blocked 11.3% | idle  6.1% | ent 0.784
  upd  134 | return    0.000 | deliv   0.00 | blocked 13.0% | idle  5.9% | ent 0.746
  upd  135 | return    0.000 | deliv   0.00 | blocked 11.8% | idle  6.2% | ent 0.822
  upd  136 | return    0.000 | deliv   0.00 | blocked 11.7% | idle  5.8% | ent 0.746
  upd  137 | return    0.200 | deliv   0.20 | blocked 12.3% | idle  6.3% | ent 0.826
  upd  138 | return    0.200 | deliv   0.20 | blocked 11.4% | idle  5.8% | ent 0.760
  upd  139 | return    0.100 | deliv   0.10 | blocked 11.4% | idle  5.4% | ent 0.777
  upd  140 | return    0.000 | deliv   0.00 | blocked  9.7% | idle  6.0% | ent 0.713
  upd  141 | return    0.200 | deliv   0.20 | blocked  9.6% | idle  6.0% | ent 0.787
  upd  142 | return    0.000 | deliv   0.00 | blocked 10.2% | idle  5.9% | ent 0.759
  upd  143 | return    0.100 | deliv   0.10 | blocked 10.3% | idle  5.5% | ent 0.768
  upd  144 | return    0.200 | deliv   0.20 | blocked 11.0% | idle  5.1% | ent 0.778
  upd  145 | return    0.200 | deliv   0.20 | blocked 12.4% | idle  4.9% | ent 0.746
  upd  146 | return    0.300 | deliv   0.30 | blocked 11.7% | idle  4.4% | ent 0.719
